,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
181,T1,Rossy,Razer DeathAdder V3 Pro Faker Edition,1000.0,800.0,0.35,280.0,1.0,ASUS TUF VG279QM,1280x1024,Artisan Ninja FX Zero XSoft,Custom Keyboard,Logitech G Pro X Headset
182,T1,xccurate,Logitech G Pro X Superlight 2 Black,2000.0,400.0,0.97,388.0,1.0,ZOWIE XL2546,1280x960,Zowie G-SR II,Logitech G Pro X Keyboard,Logitech G PRO X 2 Headset White
183,T1,Sayaplayer,Razer Viper Mini Signature Edition,1000.0,1000.0,0.33899999999999997,339.0,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II Wireless
184,Team Heretics,Boo,Razer Viper V2 Pro Black,1000.0,400.0,0.75,300.0,1.0,ZOWIE XL2546,1280x960,Steelseries QcK Prism Cloth 3XL,Corsair K65 RGB MINI 60%,HyperX Cloud II Wireless
185,Team Heretics,keloqz,Logitech G Pro X Superlight Black,1000.0,400.0,0.44,176.0,1.0,ZOWIE XL2546K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
186,Team Heretics,SirMaza,Logitech G Pro X Superlight Black,1000.0,400.0,0.5,200.0,1.0,ASUS TUF VG259QM,1920x1080,ZOWIE G-SR,SteelSeries Apex Pro TKL (2023),JBL Quantum One
187,Team Heretics,benjyfishy,Logitech G Pro X Superlight Black,1000.0,800.0,0.28300000000000003,226.4,1.0,HP OMEN 24.5″,1280x960,GameSense Radar Benjyfishy,Wooting 60 HE,beyerdynamic DT 700 PRO X
188,NRG,ethos,G-Wolves Hati S+ 4K,1000.0,400.0,0.69,276.0,0.69,ZOWIE XL2546,1920x1080,VAXEE PA ZYGEN,Custom Keyboard,HyperX Cloud II
189,NRG,crashies,Logitech G Pro Wireless,1000.0,800.0,0.23,184.0,0.875,ZOWIE XL2546,1920x1080,Razer Strider,Wooting 60 HE,Razer BlackShark V2
190,NRG,Victor,Logitech G Pro X Superlight Black,1000.0,800.0,0.275,220.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2
191,TSM,Subroza,Logitech G Pro X Superlight Black,1000.0,800.0,0.27699999999999997,221.6,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
192,Gen.G,Meteor,Logitech G Pro X Superlight Black,1000.0,800.0,0.4,320.0,1.3,ZOWIE XL2546S,1920x1080,Artisan Hayate Otsu Soft,Razer Huntsman V2 TKL,HyperX Cloud II
193,Gen.G,t3xture,Logitech G Pro X Superlight 2 Magenta,1000.0,800.0,0.45,360.0,1.0,ZOWIE XL2546K,1920x1080,SteelSeries QcK+,Corsair K70 RGB TKL,
194,Gen.G,Lakia,ZOWIE EC3-C,1000.0,800.0,0.33,266.4,1.0,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V2 TKL,HyperX Cloud Alpha
195,Gen.G,Munchkin,Razer Viper V3 Hyperspeed,1000.0,800.0,0.35,280.0,1.0,ZOWIE XL2546K,1440x1080,X-raypad Equate,Razer Huntsman V3 Pro TKL,Sennheiser GAME ONE
196,Sentinels,Sacy,Logitech G Pro X Superlight Red,1000.0,800.0,0.32,256.0,1.0,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,Logitech G Pro X Headset
197,Sentinels,Zekken,Logitech G Pro X Superlight Magenta,1000.0,1600.0,0.175,280.0,0.8,ZOWIE XL2546,1920x1080,Kurosun Ninja Speed,Wooting 60 HE,HyperX Cloud II
198,Sentinels,SicK,Logitech G900,1000.0,800.0,0.235,188.0,1.0,ZOWIE XL2546,1920x1080,Logitech G640 Original,HyperX Alloy FPS Pro,HyperX Cloud II
199,Sentinels,zombs,Logitech G Pro X Superlight Black,1000.0,400.0,0.54,216.0,1.0,ZOWIE XL2540,1920x1080,Logitech G640 Original,Gamesense Clutch,HyperX Cloud II
200,Sentinels,Zellsis,Logitech G Pro X Superlight Black,1000.0,800.0,0.215,172.0,0.82,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Custom Keyboard,Sennheiser GAME ZERO
